,Attrition_Flag,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,credit_limit_bins,Customer_Age_bins,Total_Revolving_Bal_bins,Dependent_count_bins,Months_on_book_bins,Months_Inactive_12_mon_bins,Total_Relationship_Count_bins,Contacts_Count_12_mon_bins,Total_Trans_Amt_bins,Avg_Open_To_Buy_bins,Total_Amt_Chng_Q4_Q1_bins,Total_Ct_Chng_Q4_Q1_bins,Total_Trans_Ct_bins,Avg_Utilization_Ratio_bins
14,Existing Customer,F,Graduate,Married,Less than $40K,Blue,low,43 - 57,low,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
15,Existing Customer,M,Unknown,Unknown,$80K - $120K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
16,Existing Customer,M,Post-Graduate,Single,$80K - $120K,Blue,high,43 - 57,high,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,high,low -mid,low -mid,10 - 53,0 - 0.3
17,Existing Customer,M,Unknown,Married,$80K - $120K,Blue,mid,26 - 42,mid,3 - 5,28 - 42,4 - 6,4 ,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
18,Existing Customer,M,High School,Married,$40K - $60K,Blue,low,57 +,high,0 - 2,43 - 56,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
19,Existing Customer,F,Graduate,Married,Unknown,Blue,mid,43 - 57,mid,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
20,Existing Customer,M,Doctorate,Divorced,$60K - $80K,Blue,mid,43 - 57,high,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
21,Attrited Customer,F,Graduate,Married,Less than $40K,Blue,low,57 +,low,0 - 2,43 - 56,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
22,Existing Customer,M,High School,Married,$40K - $60K,Blue,low,26 - 42,low,3 - 5,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
23,Existing Customer,F,Unknown,Single,Less than $40K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
24,Existing Customer,M,Unknown,Married,$80K - $120K,Blue,low,43 - 57,low,0 - 2,28 - 42,1 - 3,4 ,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
25,Existing Customer,F,Graduate,Single,Less than $40K,Blue,low,26 - 42,mid,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
26,Existing Customer,M,High School,Unknown,$40K - $60K,Blue,mid,57 +,mid,0 - 2,43 - 56,1 - 3,4 ,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
27,Existing Customer,M,Unknown,Married,$60K - $80K,Blue,low,57 +,mid,0 - 2,43 - 56,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
28,Existing Customer,F,Uneducated,Single,Unknown,Blue,low,43 - 57,low,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
29,Existing Customer,M,High School,Married,$40K - $60K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
30,Existing Customer,M,Unknown,Married,$80K - $120K,Blue,low,43 - 57,high,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,high,10 - 53,0.3 - 0.6
31,Existing Customer,M,Uneducated,Married,$60K - $80K,Blue,low,43 - 57,high,0 - 2,43 - 56,4 - 6,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
32,Existing Customer,M,Graduate,Married,$60K - $80K,Blue,low,26 - 42,high,3 - 5,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
33,Existing Customer,F,College,Married,Less than $40K,Blue,low,43 - 57,mid,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
34,Existing Customer,M,Graduate,Married,$80K - $120K,Blue,mid,57 +,high,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
35,Existing Customer,F,College,Single,Less than $40K,Blue,low,43 - 57,high,0 - 2,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
36,Existing Customer,F,Graduate,Married,Less than $40K,Blue,low,43 - 57,high,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
37,Existing Customer,F,High School,Married,Less than $40K,Gold,mid,26 - 42,low,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
38,Existing Customer,F,Graduate,Unknown,$40K - $60K,Blue,low,43 - 57,mid,0 - 2,43 - 56,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
39,Attrited Customer,F,Doctorate,Married,Unknown,Blue,low,57 +,low,0 - 2,43 - 56,4 - 6,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
40,Existing Customer,M,Graduate,Single,$80K - $120K,Blue,high,43 - 57,low,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,high,low -mid,low -mid,10 - 53,0 - 0.3
41,Existing Customer,M,Unknown,Married,$40K - $60K,Blue,low,43 - 57,high,0 - 2,43 - 56,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
42,Existing Customer,F,College,Single,$40K - $60K,Silver,mid,43 - 57,high,0 - 2,43 - 56,1 - 3,1 - 3,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
43,Existing Customer,M,High School,Married,$60K - $80K,Blue,low,43 - 57,low,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
44,Existing Customer,F,Graduate,Single,Unknown,Blue,low,26 - 42,high,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
45,Existing Customer,M,Uneducated,Single,$80K - $120K,Blue,high,43 - 57,low,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,high,low -mid,low -mid,10 - 53,0 - 0.3
46,Existing Customer,M,Doctorate,Married,$60K - $80K,Blue,low,43 - 57,mid,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,high,low -mid,10 - 53,0.3 - 0.6
47,Existing Customer,M,Doctorate,Married,$40K - $60K,Blue,low,57 +,high,0 - 2,43 - 56,1 - 3,1 - 3,1 - 3,less than 6500,low,high,low -mid,10 - 53,0.6 - 1
48,Existing Customer,M,High School,Married,$80K - $120K,Blue,mid,43 - 57,mid,3 - 5,28 - 42,1 - 3,4 ,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
49,Existing Customer,M,College,Single,$80K - $120K,Blue,low,43 - 57,mid,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
50,Existing Customer,F,Unknown,Married,Less than $40K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
51,Attrited Customer,F,Graduate,Married,Less than $40K,Blue,low,43 - 57,low,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
52,Existing Customer,F,High School,Married,Less than $40K,Blue,low,57 +,high,0 - 2,43 - 56,4 - 6,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
53,Existing Customer,M,Unknown,Married,$120K +,Blue,mid,43 - 57,high,0 - 2,28 - 42,1 - 3,4 ,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
54,Attrited Customer,M,Graduate,Married,$120K +,Blue,mid,43 - 57,low,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
55,Existing Customer,F,Graduate,Unknown,Less than $40K,Blue,low,43 - 57,high,3 - 5,28 - 42,4 - 6,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
56,Existing Customer,F,Graduate,Single,Less than $40K,Blue,low,43 - 57,high,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
57,Existing Customer,M,Uneducated,Married,$40K - $60K,Blue,low,43 - 57,high,0 - 2,43 - 56,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
58,Existing Customer,F,Graduate,Married,Unknown,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,high,low -mid,10 - 53,0 - 0.3
59,Existing Customer,M,High School,Single,$60K - $80K,Blue,low,26 - 42,high,0 - 2,28 - 42,4 - 6,4 ,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
60,Existing Customer,M,Unknown,Married,$80K - $120K,Blue,low,43 - 57,high,3 - 5,43 - 56,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
61,Attrited Customer,M,Graduate,Married,$60K - $80K,Silver,high,43 - 57,low,0 - 2,28 - 42,4 - 6,1 - 3,4 - 6,less than 6500,high,low -mid,low -mid,10 - 53,0 - 0.3
62,Existing Customer,M,High School,Divorced,$60K - $80K,Blue,low,26 - 42,mid,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
63,Existing Customer,M,Post-Graduate,Single,$120K +,Blue,high,43 - 57,high,3 - 5,28 - 42,4 - 6,1 - 3,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
64,Existing Customer,M,High School,Single,$120K +,Blue,mid,43 - 57,mid,0 - 2,43 - 56,1 - 3,4 ,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
65,Existing Customer,M,Uneducated,Single,$80K - $120K,Silver,high,43 - 57,mid,3 - 5,28 - 42,1 - 3,4 ,4 - 6,less than 6500,high,low -mid,low -mid,10 - 53,0 - 0.3
66,Existing Customer,M,College,Married,$60K - $80K,Blue,low,43 - 57,high,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
67,Existing Customer,F,Uneducated,Single,Less than $40K,Blue,low,43 - 57,mid,0 - 2,13 - 27,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
68,Existing Customer,M,Graduate,Married,$60K - $80K,Blue,low,43 - 57,mid,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,high,10 - 53,0.3 - 0.6
69,Existing Customer,M,Doctorate,Married,$80K - $120K,Blue,high,43 - 57,mid,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,high,low -mid,low -mid,10 - 53,0 - 0.3
70,Existing Customer,M,Graduate,Single,$120K +,Blue,high,43 - 57,high,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,high,low -mid,low -mid,10 - 53,0 - 0.3
71,Existing Customer,F,Graduate,Married,Less than $40K,Blue,low,43 - 57,mid,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
72,Existing Customer,M,Graduate,Unknown,$60K - $80K,Blue,low,43 - 57,high,0 - 2,43 - 56,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
73,Existing Customer,M,Uneducated,Married,$80K - $120K,Blue,mid,26 - 42,mid,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
74,Existing Customer,M,College,Single,$60K - $80K,Blue,high,43 - 57,high,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
75,Existing Customer,M,Graduate,Single,$80K - $120K,Blue,low,43 - 57,mid,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
76,Existing Customer,F,Graduate,Single,Less than $40K,Blue,low,43 - 57,high,3 - 5,28 - 42,4 - 6,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
77,Existing Customer,F,Uneducated,Single,Less than $40K,Blue,low,26 - 42,high,3 - 5,28 - 42,4 - 6,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
78,Existing Customer,M,Graduate,Divorced,$60K - $80K,Blue,low,43 - 57,high,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
79,Existing Customer,M,Graduate,Married,$80K - $120K,Blue,high,43 - 57,high,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,high,low -mid,low -mid,10 - 53,0 - 0.3
80,Existing Customer,M,Graduate,Married,$60K - $80K,Blue,low,43 - 57,high,3 - 5,28 - 42,4 - 6,4 ,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
81,Existing Customer,M,Unknown,Unknown,$120K +,Blue,high,43 - 57,mid,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,high,low -mid,low -mid,10 - 53,0 - 0.3
82,Attrited Customer,F,Unknown,Married,$40K - $60K,Blue,low,43 - 57,low,3 - 5,43 - 56,4 - 6,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
83,Existing Customer,F,Graduate,Married,Unknown,Blue,low,57 +,mid,0 - 2,43 - 56,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
84,Existing Customer,M,Graduate,Divorced,$80K - $120K,Blue,high,43 - 57,mid,0 - 2,28 - 42,4 - 6,5 - 6,1 - 3,less than 6500,high,low -mid,low -mid,10 - 53,0 - 0.3
85,Existing Customer,M,Graduate,Married,$60K - $80K,Blue,low,43 - 57,high,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
86,Existing Customer,M,High School,Single,$120K +,Blue,mid,43 - 57,high,0 - 2,28 - 42,1 - 3,4 ,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
87,Existing Customer,F,Uneducated,Single,Less than $40K,Blue,low,43 - 57,low,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
88,Existing Customer,M,High School,Single,$60K - $80K,Blue,mid,43 - 57,low,3 - 5,28 - 42,1 - 3,4 ,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
89,Existing Customer,M,Unknown,Married,$120K +,Blue,low,43 - 57,low,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
90,Existing Customer,F,High School,Single,Less than $40K,Blue,low,43 - 57,low,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
91,Existing Customer,M,High School,Single,$80K - $120K,Blue,high,43 - 57,high,3 - 5,28 - 42,1 - 3,4 ,1 - 3,less than 6500,high,low -mid,high,10 - 53,0 - 0.3
92,Existing Customer,M,Graduate,Single,$40K - $60K,Blue,low,43 - 57,low,0 - 2,28 - 42,4 - 6,4 ,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
93,Existing Customer,M,Graduate,Single,$80K - $120K,Blue,low,43 - 57,high,0 - 2,28 - 42,4 - 6,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
94,Existing Customer,F,Unknown,Married,Unknown,Blue,low,43 - 57,high,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
95,Existing Customer,M,Graduate,Married,Less than $40K,Blue,low,57 +,mid,0 - 2,43 - 56,4 - 6,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
96,Existing Customer,M,Graduate,Married,$40K - $60K,Blue,low,43 - 57,mid,3 - 5,28 - 42,4 - 6,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
97,Existing Customer,M,Doctorate,Married,$40K - $60K,Blue,low,43 - 57,high,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
98,Existing Customer,M,College,Married,$120K +,Blue,low,43 - 57,high,3 - 5,43 - 56,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
99,Attrited Customer,M,Unknown,Married,$80K - $120K,Blue,low,43 - 57,mid,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
100,Existing Customer,F,College,Single,Unknown,Blue,mid,43 - 57,high,3 - 5,43 - 56,4 - 6,4 ,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
101,Existing Customer,F,Unknown,Married,Unknown,Silver,high,26 - 42,high,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,high,low -mid,low -mid,10 - 53,0 - 0.3
102,Existing Customer,M,Graduate,Married,$120K +,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
103,Existing Customer,F,Graduate,Single,Less than $40K,Blue,low,43 - 57,high,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
104,Existing Customer,M,High School,Unknown,$60K - $80K,Blue,low,43 - 57,low,3 - 5,13 - 27,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
105,Existing Customer,F,Post-Graduate,Married,Less than $40K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
106,Existing Customer,M,Post-Graduate,Single,$120K +,Blue,high,43 - 57,mid,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,high,low -mid,low -mid,10 - 53,0 - 0.3
107,Existing Customer,M,Uneducated,Married,$60K - $80K,Blue,mid,43 - 57,high,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
108,Existing Customer,F,Unknown,Married,Less than $40K,Blue,low,57 +,low,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
109,Existing Customer,M,Unknown,Divorced,$120K +,Blue,high,43 - 57,high,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,high,low -mid,low -mid,10 - 53,0 - 0.3
110,Existing Customer,M,Graduate,Married,$60K - $80K,Blue,low,43 - 57,high,3 - 5,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
111,Existing Customer,M,Unknown,Married,$60K - $80K,Blue,mid,26 - 42,mid,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
112,Existing Customer,M,High School,Divorced,$60K - $80K,Blue,low,26 - 42,mid,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
113,Existing Customer,F,Uneducated,Married,Less than $40K,Blue,low,43 - 57,low,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,high,10 - 53,0.3 - 0.6
114,Existing Customer,M,Graduate,Single,$80K - $120K,Blue,mid,43 - 57,mid,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
115,Existing Customer,M,Graduate,Single,$80K - $120K,Blue,mid,43 - 57,mid,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
116,Existing Customer,M,High School,Unknown,$80K - $120K,Blue,low,43 - 57,mid,3 - 5,43 - 56,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
117,Existing Customer,M,High School,Single,$80K - $120K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,4 ,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
118,Existing Customer,M,Doctorate,Married,$60K - $80K,Blue,high,43 - 57,mid,0 - 2,28 - 42,4 - 6,4 ,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
119,Existing Customer,F,High School,Married,Less than $40K,Blue,low,43 - 57,high,0 - 2,43 - 56,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
120,Existing Customer,M,Graduate,Single,$120K +,Blue,high,43 - 57,mid,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,high,low -mid,low -mid,10 - 53,0 - 0.3
121,Existing Customer,F,Doctorate,Married,Less than $40K,Blue,low,43 - 57,high,0 - 2,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
122,Existing Customer,M,High School,Married,$80K - $120K,Blue,low,43 - 57,high,0 - 2,43 - 56,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
123,Existing Customer,F,High School,Single,$40K - $60K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
124,Existing Customer,M,College,Single,$120K +,Silver,high,43 - 57,mid,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,high,low -mid,low -mid,10 - 53,0 - 0.3
125,Existing Customer,M,Graduate,Single,$60K - $80K,Blue,low,43 - 57,low,3 - 5,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
126,Existing Customer,M,Graduate,Single,$120K +,Blue,high,57 +,low,3 - 5,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,high,low -mid,low -mid,10 - 53,0 - 0.3
127,Attrited Customer,M,Graduate,Married,$80K - $120K,Blue,low,43 - 57,high,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
128,Existing Customer,M,High School,Single,$40K - $60K,Blue,mid,43 - 57,mid,0 - 2,43 - 56,1 - 3,1 - 3,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
129,Existing Customer,F,Uneducated,Unknown,Less than $40K,Silver,low,43 - 57,high,0 - 2,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
130,Existing Customer,F,Graduate,Married,Less than $40K,Blue,low,26 - 42,high,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
131,Existing Customer,M,Unknown,Married,$40K - $60K,Blue,low,43 - 57,high,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,high,10 - 53,0.3 - 0.6
