name,price,size,color,rpm,airflow,noise_level,pwm
ARCTIC BioniX P140,19.98,140,Black / Gray,"[200, 1950]",77.6,,True
Scythe Kaze Flex,16.2,120,Black,800,43.03,14.5,False
MSI MAG MAX F12A-3H 3-Pack,,120,Black,"[600, 1500]","[8, 40.1]","[20, 28]",True
GAMDIAS AEOLUS M3-1204R 4-Pack,,120,Black,"[800, 2000]",69.01,,True
ARCTIC P14 PST,11.99,140,White / Translucent White,"[200, 1700]",72.8,22.5,True
Corsair SP120 Quiet,72.43,120,Black,1450,37.85,23,False
Thermaltake TOUGHFAN,20.99,120,Green,"[500, 2000]",58.35,22.3,True
Thermaltake Riing,14.96,140,Black / Blue,"[1000, 1400]",51.15,"[22.1, 28.1]",False
ARCTIC F12 PST,14.99,120,Black / White,1350,53,,True
Corsair AF120 Quiet,25.94,120,Black,1100,39.88,21,False
Fractal Design Silent R3,,140,Black / White,1000,56.1,21.6,False
LC-Power LC-CF-120-PRO,,120,Translucent Black,"[500, 1200]","[27.6, 68.4]","[60.8, 14.6]",True
Deepcool TF 120,,120,Black / White,"[500, 1800]","[58.39, 76.52]","[17.6, 31.8]",True
NZXT Aer RGB 3-Pack,,120,Black,"[500, 1500]","[20, 61.4]","[22, 31]",True
NZXT AER RGB 2 3-Pack,,120,Black,"[500, 1500]","[17.48, 52.44]","[22, 33]",True
ID-COOLING DF-12025 3-Pack,,120,Black / White,"[900, 2000]",56.5,"[16.2, 31.5]",True
Zalman SF120,7.99,120,Silver / Black,"[800, 1500]",54,28,True
Thermaltake Riing Quad 12 RGB Radiator TT Premium Edition 3-Pack,108.99,120,White,"[500, 1500]",40.9,25,True
ARCTIC P PST 3-Pack,,140,Black / Transparent,,68.9,"[0, 68.9]",True
Fractal Design Prisma AL18 RGB PWM,,180,Black,"[300, 1200]","[43.1, 146.8]","[14.9, 37.4]",True
Fractal Design Silent LL,,120,Black,1200,41.8,24.8,False
ID-COOLING NO-9215-XT ARGB,,92,Black / White,"[800, 2500]",44.3,"[14, 33.4]",True
Vantec Tornado,30.0,80,Black,5700,84.1,55.2,False
Fractal Design Prisma AL 3-Pack,87.99,140,White / Black,1000,63.33,19.4,False
Fractal Design Dynamic X2,,120,White,1200,52.3,19.4,False
Enermax SquA RGB,19.98,120,White,"[300, 1500]","[24.53, 68.27]","[12, 23]",True
Thermaltake Pure A12,13.99,120,Black,"[500, 1500]",,,True
Vetroo ARGB120,,120,White,1300,48.1,,True
Corsair ML Elite,14.99,120,Black,"[450, 2000]","[14.86, 58.1]","[10, 30.4]",True
Cooler Master Mobius OC,,120,Blue / Black,,"[40.2, 88.1]","[17.4, 39.3]",True
Thermaltake Pure Duo 2-Pack,56.99,140,Black,"[500, 1500]",,33.5,True
Cooler Master Silencio FP,19.98,120,Black,2400,38,11,True
Cougar VORTEX FCB,17.98,120,Black,1200,36.72,24.3,False
Cooler Master SickleFlow,,120,Translucent Gray,2000,69.69,19,False
Apevia Spectra 6-Pack,,120,Black,1350,57.67,24.7,True
BitFenix Spectre Pro,,140,White,"[500, 1800]",122.2,29.2,True
Scythe Kaze Flex Slim,11.95,120,Gray / Black,"[300, 1200]","[8.28, 33.86]","[2.7, 23.9]",True
Silverstone Shark Force,29.81,140,Black,,"[0, 120]","[0, 38.3]",True
Fractal Design Dynamic X2 GP-14,,140,White / Black,1000,68.4,18.9,False
Bitspower Notos,28.99,120,Black / White,"[800, 1800]",,"[25, 28]",True
Thermaltake Riing,12.99,120,Black / Green,"[1000, 1500]",40.6,"[18.7, 24.6]",False
Thermaltake Riing Quad 14 RGB Radiator TT Premium Edition 3-Pack,110.99,140,Black,"[500, 1400]",60.17,26.1,True
EK Furious Vardar EVO BB,,140,Black,2500,144,48.4,True
ARCTIC F14 PWM PST 5-Pack,,140,Black / White,"[200, 1350]",74,,True
ID-COOLING XF-12025-ARGB (Single),,120,Black / White,"[700, 1500]",62,"[18, 26.4]",True
ID-COOLING XF-12025-SD-K,,120,Black,"[800, 1500]",68.2,"[13.8, 30.5]",True
Jonsbo ZG 3-Pack,,120,Black,"[500, 1500]","[20.1, 60.45]","[23.8, 29.3]",True
ADATA XPG HURRICANE,27.99,140,Black,"[700, 1800]",91,28.1,True
Alpenföhn Wing Boost 3 ARGB 3-Pack,,120,Black,"[700, 2200]",77.9,36.8,True
Fractal Design Prisma SL,14.99,120,Black / White,1200,50.63,19.5,False
Aerocool DS,13.99,140,Black / White,"[1100, 1500]","[71.2, 93.4]","[15.5, 23.4]",False
Xigmatek Galaxy II Elite 3-Pack,,120,Black / White,"[600, 1500]",,,False
Fractal Design Silent R2,,140,Black / White,1000,66,18.5,False
Deepcool GF,,140,Black,"[700, 1200]",71.8,"[17.6, 26.7]",True
SilentiumPC Zephyr 140,,140,Black,600,47,8.9,False
Thermaltake Pure A14,,140,Black,"[500, 1500]",,32,True
be quiet! Pure Wings 2,9.9,92,Black,"[900, 1900]",33.15,18.6,False
Silverstone Air Slimmer,20.29,90,Black,"[500, 2500]","[5.38, 45.73]","[11.3, 32]",True
Antec 75001,10.24,80,Clear,2600,34,30,False
NoiseBlocker NB-ELOOP X ARGB,26.95,120,Black,,"[0, 58.09]","[0, 21.2]",True
Reeven Coldwing,7.99,140,Yellow / Black,800,43.5,14.3,False
Bitspower Touchaqua NJORD RGB 3-Pack,94.99,120,Black / White,"[800, 2000]",70,29,True
Gelid Solutions Stella Frost Daisy Chain 3-Pack,,120,White,"[500, 1600]",70,35,True
Apevia CF12SL-UGN,7.99,120,Green,1700,63.85,29.67,False
Corsair HD140 2-Pack,,140,Black / White,"[600, 1350]",74,"[18, 28.6]",True
Aerocool Shark,,120,Black,"[800, 1500]","[32.5, 82.6]","[12.6, 26.5]",False
Deepcool RF,,140,Black,"[5000, 1200]",64.13,"[19.8, 24]",True
ID-COOLING TF-12025-ARGB-TRIO-SNOW 3-Pack,,120,White,"[500, 1500]",68.2,"[13.8, 30.5]",True
Thermaltake Riing Plus TT Premium Edition,61.59,200,Black,"[500, 1000]",117.96,29.2,True
Apevia APEVIA CO312L-PK Cosmos 120mm Pink LED Ultra Silent Case Fan w/ 16 LEDs & Anti-Vibration Rubber Pads (3 Pack) 3-Pack,14.99,120,,1350,"[57.67, 56.67]",24.7,False
NZXT FX,11.95,140,Black / White,"[800, 2000]","[54, 98.3]","[21, 37]",True
Enermax UCHF12PARGB-W-BP3 3-Pack,,120,White,"[500, 1600]","[22.5, 72.1]","[14, 27]",True
Vantec Thermoflow,10.99,92,Black,"[1850, 3100]","[34.79, 58.5]","[29, 40]",False
Rosewill RAWP-141411,11.21,140,Brown / Black,"[900, 1200]","[60.23, 82]","[14.5, 21.5]",False
Thermaltake Riing 3-Pack,74.98,140,Black,"[1100, 1400]",51.15,"[19, 28.1]",True
Thermaltake Blue-Eye,13.58,80,Transparent,"[1300, 2500]",32.92,"[17, 28]",False
Corsair AF120 Quiet 2-Pack,,120,Black / Blue,1500,52.19,25.2,False
NZXT FN V2,,120,Black / White,1200,45,21,False
Fractal Design Venturi HF-12,,120,Black,1400,83.4,25.3,False
EK Vardar X3M 120ER,,120,Black,,,,True
Thermalright TL-R12,,120,White,"[400, 1500]","[21.76, 65.25]","[15, 23]",True
Fractal Design Dynamic X2,,140,White,1000,68.4,18.9,False
Noctua A9 FLX,18.95,92,Brown,"[1050, 1600]","[25.25, 38.02]","[8.4, 17.1]",False
ARCTIC P14,11.99,140,White / Translucent White,"[200, 1700]",72.8,22.5,True
Scythe Kaze Flex Slim RGB,15.95,92,Black,"[300, 2500]","[4.96, 41.3]","[1.8, 23.2]",True
Cooler Master JetFlo,18.98,120,Black,"[1200, 2000]",95,36,True
Apevia C 5-Pack,,120,Black / Red,1500,57.67,24.7,False
Scythe Kaze Flex,16.77,120,Black,1800,79.76,35.8,False
Apevia APEVIA CO312L-GN Cosmos 120mm Green LED Ultra Silent Case Fan w/ 16 LEDs & Anti-Vibration Rubber Pads (3 Pack) 3-Pack,16.98,120,,1350,"[57.67, 56.67]",24.7,False
Aerocool TURBINE 3000,15.99,120,Blue,950,37.44,19.66,False
Xigmatek XLF,5.99,140,Black,1000,63.5,16,False
Fractal Design Venturi HP-14,,140,Black,1500,78.09,30.1,True
Fractal Design Dynamic X2 GP,,120,Black / White,"[500, 2000]",87.6,32.2,True
NoiseBlocker ELoop B,38.39,140,Black,1200,83.93,24,True
Corsair AF140 (2018),,140,Black / White,1150,62,26,False
Scythe Kaze Flex Square,17.62,140,Black,"[300, 1200]","[16.8, 67.2]","[4.19, 19.4]",True
CRYORIG QF Performance,,120,Black / White,"[600, 2200]",83,"[13, 37]",True
ARCTIC BioniX P140,,140,White / Gray,"[200, 1950]",77.6,,True
Phanteks F140SP,,140,Black / White,1200,82.1,19,False
Phanteks F140SP,,140,Black / White,1200,82.1,19,False
Phanteks F200SP,14.99,200,Black,850,110.1,25,False
Thermaltake Riing Plus,39.99,200,Black,"[500, 1000]",117.96,29.2,True
ARCTIC P8 Silent,25.76,80,Black,1600,15.6,,False
Corsair SP120 High Performance,44.71,120,White / Black,1400,52,26,True
Corsair SP120 High Performance,95.9,120,Black,2350,62.74,35,False
ARCTIC F Silent,11.85,120,White / Black,800,37,,False
ARCTIC P8 PST,20.55,80,,"[200, 3000]",23.4,,True
MagniumGear Skiron,17.63,120,Black / White,1500,50,29,True
BitFenix Spectre,,120,Black,1000,43.5,20,False
Thermaltake Pure,9.99,120,Clear,1000,40.99,19.5,False
Corsair AF120,38.79,120,Black,1500,52.19,25.2,False
Corsair HD120,,120,Black / White,"[800, 1725]",54.4,"[18, 30]",True
Corsair SP120 High Performance,136.38,120,White / Black,1400,52,26,True
GameMax Mirage RGB,,120,Black,1100,36,25,False
Vetroo ARGB120,,120,Black,1300,48.1,,True
Thermaltake Riing Plus TT Premium Edition,19.98,120,Black,"[500, 1400]","[5, 14]",24.7,True
Scythe Kaze Flex RGB,15.99,120,Black / White,"[300, 1200]","[16.6, 51.17]","[4, 24.9]",True
Aerocool Silent Master,19.98,200,Blue,800,76,18,False
Thermaltake Pure A14,14.99,140,Black,"[500, 1500]",,32,True
Apevia S 3-Pack,17.95,120,Black / Red,1500,57.67,24.7,False
MagniumGear Skiron,14.98,120,Black / White,1500,50,29,True
Alpenföhn Wing Boost 3 ARGB 3-Pack,129.0,120,Black,"[700, 1600]",54.5,23.5,True
Thermaltake Riing,12.99,120,Black / Red,"[1000, 1500]",40.6,"[18.7, 24.6]",False
Thermaltake Riing,17.98,140,Black / White,"[1000, 1400]",51.15,"[22.1, 28.1]",False
Apevia CF4S-BK,7.49,80,Black,2000,25.64,22.05,False
Akasa Viper,,120,Black / Yellow,"[600, 1900]",83.63,"[6.9, 28.9]",True
Apevia C,8.99,120,Black / Blue,1500,57.67,24.7,False
Alpenföhn Wing Boost 3 ARGB 3-Pack,,120,White,"[700, 2200]",77.9,36.8,True
Deepcool TF 120,,120,Black / Blue,"[500, 1800]","[58.39, 76.52]","[17.6, 31.8]",True
BitFenix Spectre Pro,,230,Black / White,900,156.72,25.6,False
SilentiumPC Sigma Pro 140,,140,Black,"[500, 1400]",78.6,,True
darkFlash CF8 Pro 3-Pack,,120,Transparent,,,,False
Silverstone Air Slimmer,12.37,90,Black,"[500, 2500]","[5.38, 45.73]","[11.3, 32]",True
Corsair ML140 LED ELITE Red Premium,17.49,120,Black,"[400, 1600]","[15, 82.9]","[10, 31.8]",True
Fractal Design Dynamic X2,30.12,140,White / Black,"[500, 1700]","[47.9, 105.9]",33.7,True
Scythe Kaze Flex II,15.95,120,Black,"[300, 1500]","[16.9, 67.62]","[4, 28.6]",True
Gelid Solutions Stella Frost,12.0,120,White,"[500, 1600]",70,35,True
In Win Sirius Extreme Pure ASE120P 3-Pack,,120,White,"[400, 1500]",54,"[21, 25]",True
In Win Sirius Loop ASL,27.36,120,Black,"[500, 1800]",50,27,True
Thermaltake Riing,12.99,120,Black / Orange,"[1000, 1500]",40.6,"[18.7, 24.6]",False
Cooler Master MasterFan MF140R,,140,Black,"[650, 1500]",90,33.5,True
CRYORIG QF Performance,,140,White / Black,"[600, 1850]",128,"[13, 38]",True
Aerocool DS,16.98,140,Black / Red,"[1100, 1500]","[71.2, 93.4]","[15.5, 23.4]",False
Zalman F1,9.86,80,Clear,2000,,"[20, 23]",False
Enermax T.B. Silence Adv,22.9,120,Black,"[300, 1500]",63.89,"[7, 15.8]",True
Antec Fusion 120 ARGB White,,120,White,"[600, 2000]",57.93,"[17.02, 31.24]",True
Phanteks F140TS,,140,Blue,"[750, 1200]","[45.1, 78.09]","[13.4, 19]",False
NoiseBlocker ELoop B,29.95,120,White,1900,71.33,27,False
ARCTIC F12 PST 5-Pack,,120,White / Black,"[300, 1350]",53,,True
Cooler Master MasterFan Pro Air Flow,,120,Black,"[650, 1100]",48.8,"[6, 20]",True
BitFenix Spectre Pro,,120,Black,1200,56.22,18.89,False
Reeven Coldwing,12.99,120,Yellow / Black,800,43,14.5,False
Deepcool CF,,120,Black,"[500, 1500]",56.5,"[17.8, 27]",True
Apevia FrostBlade 4-Pack,,120,Black,1350,57.67,24.7,False
Iceberg Thermal IceGALE,15.99,120,Black / White,"[500, 1850]",76,"[0, 35]",True
ARCTIC F12 CO,14.35,120,Black,"[600, 1350]",74,,True
Thermaltake Riing 3-Pack,,120,Black,"[1000, 1500]",40.6,26.4,True
Nexus D12SL-12WL,7.39,120,Clear,1000,36.86,18,False
Corsair SP120,95.0,120,Black / White,1650,57.24,26.4,False
Logisys CF120RD,7.99,120,Clear,"[1800, 2000]",69.15,39.29,False
Fractal Design Prisma AL 3-Pack,,120,White / Black,1200,50.63,19.5,False
ARCTIC F9,,92,White / Black,1800,43,,False
Scythe Kaze Flex,,140,Black / White,"[300, 1800]","[16.8, 100.8]","[4.19, 26.45]",True
Scythe Kaze Flex II,15.95,120,Black,"[300, 1200]","[16.9, 52.94]","[4, 23.8]",True
Akasa Viper,,140,Black / Yellow,"[600, 1600]",109.55,"[7, 21.7]",True
Phanteks F140MP,,140,Black,"[500, 1600]",68.09,25.3,True
Iceberg Thermal IceGALE,11.99,80,Gray / White,"[800, 2000]",29,"[0, 26]",True
Corsair SP120 Quiet 2-Pack,,120,Black,1450,37.85,23,False
Cooler Master Blade Master,,120,Black,"[600, 2000]","[21.2, 76.8]","[13, 32]",True
BitFenix Spectre Pro,,230,Black / Red,900,156.27,25.6,False
Corsair SP120 2-Pack,,120,Black / Purple,1650,57.24,26.4,False
Fractal Design Silent R2,,120,Black,1000,66,18.5,False
Antec Prizm 2+C 2-Pack,,140,Black,1700,65.03,32,True
Enermax HF120 3-Pack,,120,White,"[500, 1600]","[22.5, 72.1]","[14, 27]",True
ID-COOLING XF-12025-SW,,120,White,"[700, 1800]",74.5,"[18, 35.2]",True
ID-COOLING TF-12025-ARGB-SNOW,,120,White,"[500, 1500]",68.2,"[13.8, 30.5]",True
ARCTIC F8 PWM PST CO,10.99,80,Black,"[300, 2000]",31,,True
BitFenix Spectre Pro,9.9,140,Black / White,1200,86.73,22.8,False
In Win Mercury AM120S 3-Pack,39.0,120,Black / White,"[400, 2000]",60.71,"[17, 29]",True
NoiseBlocker NB-ELOOP X ARGB,29.95,120,Black,,"[0, 109.47]","[0, 28.4]",True
Thermaltake TOUGHFAN,19.98,120,Turquoise,"[500, 2000]",58.35,22.3,True
ADATA Vento 3-Pack,45.99,120,Black / White,1200,45.3,23,False
Corsair AF140 (2018),18.25,140,Black / White,1150,62,26,False
Noctua R8 PWM,19.99,80,Brown,"[300, 1800]","[23.19, 31.37]","[10.19, 17.1]",False
Nexus D12SL-12PWM,7.99,120,Clear,2000,76,"[15.5, 26.9]",True
NoiseBlocker ELoop B,34.51,140,Black / White,"[300, 1200]",83.92,24.28,True
StarTech FAN9X25TX3H,8.25,92,Black,2600,48.43,33,False
StarTech FANBOX,11.0,92,Black,2200,39.35,26,False
Akasa Viper,,140,Black / Yellow,"[600, 1600]",110.61,"[12.5, 26.01]",True
Aerocool Shark,13.99,120,Red,"[800, 1500]","[32.5, 82.6]","[12.6, 26.5]",False
Corsair HD140,92.64,140,Black / White,"[600, 1350]",74,"[18, 28.6]",True
Cooler Master MasterFan SF120M,30.59,120,Black,"[650, 2000]","[35, 62]","[5.5, 22]",True
Iceberg Thermal IceGALE Xtra,,120,Black / White,"[500, 3000]",127,"[0, 44]",True
ID-COOLING TF-12025-ARGB,,120,Black / White,"[500, 1500]",68.2,"[13.8, 30.5]",True
Alpenföhn JetStream 3-Pack,,120,Black,"[400, 1600]",55.326,22.8,True
Corsair AF120 Performance 2-Pack,,120,Black,1650,63.47,30,False
Cooler Master Blade Master,,92,Black,"[800, 2800]","[15.7, 54.8]","[17, 35]",True
NZXT Air Flow,,140,Clear,1000,83.6,24.5,False
Antec Two Cool,,140,Black,"[800, 1200]",33.6,"[21.8, 26]",False
Apevia CF12SL-SRD,9.99,120,Red,1500,50.28,21.1,False
Phanteks F120MP,,120,Black / White,"[500, 1800]",53.3,25,True
Fractal Design Venturi HP-12,,120,Black,1800,61.4,31.7,True
Kingwin CFBL-08LB,,80,Transparent,1700,30,25,False
Phanteks F120MP,,120,Black,"[500, 1800]",53.3,25,True
NZXT Aer RGB,,120,Black,"[500, 1500]","[20, 61.4]","[22, 31]",True
Cooler Master MasterFan Pro Air Pressure,,120,Black,"[650, 1500]",35,"[6, 20]",True
NZXT Aer F,,140,Black,"[500, 1500]","[34.48, 103.43]","[21, 35]",True
Lian Li Bora Lite 3-Pack,,120,Silver,"[900, 1500]",48.31,28.2,True
Mars Gaming MFRGBKIT 3-Pack,,120,Black,1200,45.2,18,False
EK Vardar EVO 120ER 2-Pack,,120,Black / White,"[500, 2200]",77,33.5,True
ID-COOLING XF-12025-ARGB-TRIO SNOW 3-Pack,,120,White,"[700, 1500]",62,"[18, 26.4]",True
EK Loop Fan FPT 140 D-RGB,35.99,140,White,"[600, 2200]",118.01,44.56,True
Silverstone AP,41.11,180,Black,"[400, 1500]","[24.49, 140.13]","[18, 37]",True
ARCTIC F,9.99,120,Black,"[230, 1350]",53,,True
Enermax SquA RGB,19.98,120,Black,"[300, 1500]","[24.53, 68.27]","[12, 23]",True
Corsair ML Elite,14.99,120,White,"[450, 2000]","[14.86, 58.1]","[10, 30.4]",True
Gelid Solutions Stella 5-Pack,,120,Black,"[500, 1600]",70,35,True
Silverstone FW,23.99,120,Black / Transparent,"[800, 2000]","[13.1, 32.6]","[14.7, 24.6]",True
NoiseBlocker ELoop B,27.91,120,Black / White,"[400, 1500]",58.1,21.2,True
Corsair SP140,19.98,140,Black / Red,1440,49.49,29.3,False
Logisys CF120GN,7.29,120,Transparent,"[1800, 2000]",69.15,39.29,False
Silverstone FN,8.0,120,Black,1200,53.24,26.6,False
Evercool Evergreen,10.0,120,Green,800,30.51,16,False
Gelid Solutions Silent,11.49,92,White,1500,31.32,20,False
Silverstone FQ,22.99,140,White / Blue,"[500, 1000]","[31.4, 62]","[15.1, 20.7]",True
Cooler Master Blade Master,,80,Black,"[800, 3000]","[10.9, 40.79]","[13, 28]",True
SHARKOON Shark Blade,,120,Black / Yellow,1000,33,19,False
Raidmax RX-120SR-GY,,120,Black / Gray,1200,38,22,False
Corsair SP120 2-Pack,,120,Black / White,1650,57.24,26.4,False
Corsair SP140 2-Pack,,140,Black / Purple,1440,49.49,29.3,False
EK Vardar F3,,120,Black / Gray,1850,63,29.5,True
Deepcool TF 120,,120,Black / Red,"[500, 1800]","[58.39, 76.52]","[17.6, 31.8]",True
Kingwin CF-014LB,,140,Black,1000,58,23,False
Cooler Master MasterFan SF120R,,120,Black,"[650, 2000]",59,"[8, 30]",True
ID-COOLING NO-12015-XT,,120,Black,"[500, 2000]",54.6,"[13.8, 31.2]",True
Tempest TP-FAN120-B,,120,Black,1000,37.8,20.4,False
ARCTIC P PST 3-Pack,76.98,140,Black / Transparent,,68.9,"[0, 68.9]",True
be quiet! Shadow Wings 2,18.9,140,White / Black,1100,"[49.8, 85]",14.7,False
Scythe Kaze Flex RGB,13.95,92,Black,"[300, 2300]","[6.75, 48.88]","[7.3, 28.83]",True
Enermax T.B. RGB 2-Pack,44.98,140,Black,"[500, 1200]",56.89,21,True
EK Loop Fan FPT 140,32.99,140,Black,"[600, 2200]",118.01,44.56,True
NoiseBlocker NB-ELOOP X ARGB,64.09,140,White,,"[0, 109.47]","[0, 29.6]",True
Evercool FAN-EC4010M12CA,6.45,40,Black,5000,6.24,21,False
Scythe Gentle Typhoon,32.0,120,Gray,800,28.25,9,False
Fractal Design Silent R3,,50,Black / White,3500,6.8,19,False
Aerocool Shark,16.98,140,White,"[800, 1500]","[50, 96.5]","[14.5, 29.6]",False
be quiet! Silent Wings 3,30.03,140,Black,1000,59.5,15.5,False
Gelid Solutions Silent 6,7.99,60,Black / White,3200,16,24,False
Cooler Master SickleFlow,19.98,120,Clear,2000,69,19,False
Apevia CF312SL-UGN 3-Pack,,120,Green,1700,,29.67,False
Scythe Kaze Flex II Slim,16.95,120,Black,"[300, 1500]","[8.16, 39.44]","[2.58, 23.8]",True
Prolimatech Vortex,19.98,140,Clear,1000,87,18.1,False
Noctua B9 redux-1600,13.95,92,Black / Gray,"[350, 1600]",37.85,17.6,False
Corsair ML140 Pro,34.9,140,Black / Blue,"[400, 2000]","[20, 97]","[16, 37]",True
Cooler Master MasterFan Pro Air Pressure,23.2,140,Black,"[650, 1550]",46.2,"[6, 20]",True
ARCTIC BioniX F140,,140,Black / Red,1800,104,25.3,False
ARCTIC F8 TC,10.06,80,White / Black,2000,31,,False
Cougar VORTEX SPB,24.99,120,Black,"[600, 1500]",43.54,26,True
Vantec Stealth,7.49,80,Black,2050,27,21,False
be quiet! Silent Wings 3,,120,Black,1450,50.5,16.4,False
Apevia C,8.99,120,Black / Red,1500,57.67,24.7,False
Iceberg Thermal IceGALE,19.99,140,Black / White,"[500, 1600]",96,"[0, 36]",True
Cooler Master R4-L2S-122B-GP 2-Pack,,120,Clear,1200,39.77,19.3,False
be quiet! Silent Wings 2,,80,Black,2000,"[26, 44.2]",15.5,True
be quiet! Silent Wings 2,,140,Black,1000,60.4,15.8,False
Deepcool XFAN,,120,White,1300,65.16,26,False
EK Furious Vardar EVO,,120,Black,3000,107,42,True
Azza Hurricane 6-Pack,,120,Black,"[800, 1800]",56.12,29.8,True
Azza Prisma Digital,,120,Black / White,"[800, 1600]",52.1,31,True
Fractal Design Silent R3,,92,Black / White,1500,24.4,18.3,False
Silverstone Air Penetrator,28.58,180,Black,"[700, 1200]","[80, 130]","[18, 34]",False
Silverstone Air Penetrator,27.53,180,Black,"[700, 1200]","[80, 130]","[18, 34]",False
Corsair ML140 LED ELITE Blue Premium,17.49,120,Black,"[400, 1600]","[15, 82.9]","[10, 31.8]",True
Phanteks F200SP,19.98,200,Black / White,850,110.1,25,False
Rosewill RASF-141213,10.49,120,Black,1600,54.55,"[11, 30.32]",True
Fractal Design Prisma AL,,140,White / Black,1000,63.33,19.4,False
StarTech FANBOX,7.97,80,Black,3000,37.27,27,False
Thermaltake Pure,23.84,140,Clear,1000,67.02,20,False
ARCTIC F9 TC,,92,White / Black,1800,43,,False
Gelid Solutions Silent,7.5,40,Black,4200,4.5,18.89,False
Corsair ML140 LED ELITE Blue Premium,17.49,120,White,"[400, 1600]","[15, 82.9]","[10, 31.8]",True
Corsair AF120,,120,White,1500,52.19,25.2,False
Fractal Design Silent R3,,80,Black / White,1600,20.2,18.1,False
Apevia C,9.99,120,Black / White,1500,57.67,24.7,False
Cougar Turbine,,120,Black,1200,60.4,17.7,False
Vantec Stealth,6.95,92,Black,1750,28,20,False
Cougar Vortex,,120,Orange,"[800, 1500]",70.5,17.9,False
NZXT FZ,,120,Clear,1200,59.1,26.8,False
Fractal Design Silent R2,,92,Black / White,1300,24.6,12.5,False
Corsair SP120 Quiet 2-Pack,,120,Black,1450,37.85,23,True
Corsair SP120 High Performance Edition,,120,Black,2350,62.74,35,True
Corsair AF120,,120,Purple,1500,52.19,25.2,False
be quiet! Silent Wings 2,,120,Black,1500,50.5,15.7,False
Thermaltake Luna,,120,Black / Red,1200,50.44,20.7,False
Corsair SP120 2-Pack,,120,Black / Red,1650,57.24,26.4,False
Corsair SP140 2-Pack,,140,Black / Red,1440,49.49,29.3,False
ARCTIC F8,,80,White / Black,"[850, 2000]",31,,True
Cooler Master MasterFan Pro Air Balance,,120,Black / White,"[650, 1300]",42.7,"[6, 20]",True
Cougar Vortex,,120,Black,1200,36.72,24.3,False
Cooler Master MasterFan SF120R,,120,Black,"[650, 2000]",59,"[8, 30]",True
RAIJINTEK IRIS 12 RBW ADD-1,,120,White / Black,"[400, 1800]",35.8,28,True
Xigmatek Galaxy II Pro 3-Pack,,120,Black / White,"[600, 1500]",,,False
Iceberg Thermal IceGALE,15.99,120,Gray / White,"[500, 1850]",76,"[0, 35]",True
ID-COOLING NO-14025K,,140,Black / Red,"[800, 1600]",76.8,"[16.8, 32.6]",True
Jonsbo ZG-R 3-Pack,,120,Black,"[500, 1500]","[20.1, 61.7]","[23.8, 36.8]",True
NoiseBlocker NB-ELOOP X ARGB,64.09,140,Black,,"[0, 109.47]","[0, 29.6]",True
ARCTIC BioniX F140,19.98,140,Black / Yellow,1800,104,25.3,False
Silverstone AP,27.24,120,Black / White,"[500, 1800]","[6.37, 25.5]","[19.25, 23.54]",True
Thermaltake Riing,12.99,120,Black / Yellow,"[1000, 1500]",40.6,"[18.7, 24.6]",False
Corsair AF140 (2018),19.98,140,Black / White,1150,62,26,False
Noctua P12-1300,28.07,120,Brown,"[900, 1300]","[37.33, 54.36]","[12.6, 19.8]",False
Rosewill RFA-80-BL,,80,Blue,2500,33.21,22.41,False
Corsair SP120 2-Pack,,120,Black / Green,1650,57.24,26.4,False
Aerocool Aluminum-Quadro,13.24,80,Silver,2000,21.5,20.3,False
CRYORIG QF Silent,20.0,140,White / Black,"[200, 1000]",42.1,"[9, 19.5]",True
Gelid Solutions FN-SX05-40,15.36,50,White,4000,21.94,23,False
Cougar Vortex,16.98,120,Orange,1200,60.4,17.7,False
Evercool Evergreen,10.0,92,Green,1200,,16,False
Aerocool Turbine 1000,14.98,120,Silver,950,37.44,19.66,False
Fractal Design Prisma SL,,120,Black / White,1200,50.63,19.5,False
In Win Jupiter AJ120,,120,Black,"[500, 1800]",70.32,35,True
Iceberg Thermal IceGALE,11.99,80,Teal / White,"[800, 2000]",29,"[0, 26]",True
Cooler Master MOBIUS 120P ARGB 30TH ANNIVERSARY EDITION,,120,Black / Blue,,75.2,30,True
Apevia CF12SL-UBL,,120,Blue,1500,57.67,24.7,False
Cooler Master Megaflow,,200,Black,700,110,19,False
Cougar CFD,,120,Blue,1200,64.37,16.6,False
Zalman F3,,120,Black,"[900, 1800]",,"[20, 34]",False
Logisys LT400BL,,80,Clear,1800,21.71,20,False
Rosewill RFA-120-BL,,120,Blue,2000,74.48,29.28,False
Xigmatek Crystal,,120,Clear,1500,68.33,20,False
Zalman F2,,92,Transparent,"[1500, 2800]",,,False
BitFenix Spectre,,230,Black,900,97.8,20,False
BitFenix Spectre Pro,,120,White,"[500, 1800]",70.52,26.1,True
Corsair AF140,70.38,140,Black,1200,66.4,25.5,False
Corsair AF140 Quiet,71.26,140,Black,1200,66.4,25.5,False
Corsair AF120 Quiet,,120,Black / Red,1500,52.19,25.2,False
be quiet! Silent Wings 2,,120,Black,1500,50.5,16.5,True
Corsair SP140,,140,Black / Green,1440,49.49,29.3,False
Corsair SP140 2-Pack,,140,Black / White,1440,49.49,29.3,False
Deepcool Wind Blade,,120,Black,,53.65,26.6,False
Cooler Master MasterFan Pro Air Pressure,,140,Black,"[650, 2800]","[46.2, 82.2]","[6, 36]",True
Cooler Master MasterFan Pro Air Pressure 3-Pack,,120,Black,"[650, 1500]",35,"[6, 20]",True
