name,price,protocol,interface,color
Netgear A6150-100PAS,39.97,Wi-Fi 5,USB Type-A 2.0,Black
Syba SY-PEX23063,,Wi-Fi 4,PCIe x1,
Encore ENEWI-1XN45,17.0,Wi-Fi 4,PCIe x1,
Netgear A6100-10000S,35.97,Wi-Fi 5,USB Type-A 2.0,Black
Netgear WNA3100M-100ENS,35.24,Wi-Fi 4,USB Type-A 2.0,
Asus PCE-N53,,Wi-Fi 4,PCIe x1,
TP-Link Archer T8E,,Wi-Fi 5,PCIe x1,
Edimax EW-7612PIN V2,21.02,Wi-Fi 4,PCIe x1,Green
Intel 7260,17.0,Wi-Fi 5,Mini-PCIe,
TP-Link TL-WN851ND,54.99,Wi-Fi 4,PCI,
TRENDnet TEW-726EC,58.49,Wi-Fi 4,PCIe x1,
TRENDnet TEW-807ECH,31.46,Wi-Fi 5,PCIe x1,
TP-Link TL-WN951N,79.98,Wi-Fi 4,PCI,
Asus USB-AC53,35.79,Wi-Fi 5,USB Type-A 2.0,
TP-Link Archer T2UH,,Wi-Fi 5,USB Type-A 2.0,
TP-Link TL-WN751ND,61.0,Wi-Fi 4,PCI,
TP-Link Archer T4U V2,35.48,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Sabrent USB-802N,9.01,Wi-Fi 4,USB Type-A 2.0,Black
AVM FRITZ! WLAN Stick AC 430 MU-MIMO,,Wi-Fi 5,USB Type-A 2.0,White / Red
Rosewill RNX-G300LX,,Wi-Fi 3,PCI,
TP-Link TL-WDN3800,,Wi-Fi 4,PCIe x1,
TRENDnet TEW-643PI,,Wi-Fi 4,PCI,
Rosewill RNX-N300UB,9.99,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-N150NUB,,Wi-Fi 4,USB Type-A 2.0,
Asus USB-N13,,Wi-Fi 4,USB Type-A 2.0,
Intel 2200BNHMWDTX1,,Wi-Fi 4,PCIe x1,
Rosewill N900PCE,,Wi-Fi 4,PCIe x1,
TP-Link TL-WN727N,,Wi-Fi 4,USB Type-A 2.0,
3M 78-6972-0104-0,,Wi-Fi 3,USB Type-A 2.0,
TP-Link Archer T1U,,Wi-Fi 5,USB Type-A 2.0,
Rosewill RNX-AC600PCEv3,,Wi-Fi 5,PCIe x1,Black
Rosewill RNX-AC1900PCEv2,,Wi-Fi 5,PCIe x1,Red / Black
InFocus INA-WIFIUSB-4,,Wi-Fi 5,USB Type-A 2.0,Black
Linksys WMP600N,34.99,Wi-Fi 4,PCI,
D-Link DWA-552,56.99,Wi-Fi 4,PCI,
Intel 633AN.HMWWB,14.99,Wi-Fi 4,Half Mini-PCIe,
Syba SY-ADA23026,11.78,Wi-Fi 4,USB Type-A 2.0,
Netgear A6200-100NAS,64.98,Wi-Fi 5,USB Type-A 2.0,
TP-Link TL-WDN4200,59.0,Wi-Fi 4,USB Type-A 2.0,
BrosTrend AC3L Linux Wi-Fi Adapter,37.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Belkin E9L1500,169.62,Wi-Fi 4,USB Type-A 2.0,
StarTech USB150WN1X1,14.95,Wi-Fi 4,USB Type-A 2.0,
Edimax EW-7822PIC,,Wi-Fi 5,PCIe x1,
TP-Link Archer T4UH,59.91,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Rosewill RNX-N300X,,Wi-Fi 4,PCI,
Patriot PCUSBW1150,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-424UB,,Wi-Fi 3,USB Type-A 2.0,
Intel 7260HMW,,Wi-Fi 5,Half Mini-PCIe,
TP-Link TL-WN721N,,Wi-Fi 4,USB Type-A 2.0,
Intel 3160.NGWG,,Wi-Fi 5,Mini-PCIe,
Feb Smart FS-N600 Basic Edition,,Wi-Fi 5,PCIe x1,
fenvi FV-8802,,Wi-Fi 5,PCIe x1,Black / Orange
fenvi FV-AX3000R,,Wi-Fi 6,PCIe x1,Red / Black
Intel AX210 w/vPro,,Wi-Fi 6E,M.2 PCIe,Green
Hawking Technology HW17ACU,22.99,Wi-Fi 5,USB Type-A 2.0,Black
Encore ENEWI-1XN42,23.95,Wi-Fi 4,PCIe x1,
BrosTrend AC1,23.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
StarTech USB433ACD1X1,24.93,Wi-Fi 5,USB Type-A 2.0,Black
HP 8265,49.99,Wi-Fi 5,PCIe x1,Green / Black
Intel 6235AN.HMWWB,17.98,Wi-Fi 4,Half Mini-PCIe,
D-Link DWA-182,27.99,Wi-Fi 5,USB Type-A 2.0,
Linksys WUSB600N,49.99,Wi-Fi 4,USB Type-A 2.0,
StarTech USB150WN1X1W,14.99,Wi-Fi 4,USB Type-A 2.0,
Belkin F9L1101,92.92,Wi-Fi 4,USB Type-A 2.0,
StarTech USB867WAC22,57.85,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Intel 7260,32.99,Wi-Fi 4,Mini-PCIe,
BrosTrend AC1L,27.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
TRENDnet TBW-108UB,10.99,Wi-Fi 4,USB Type-A 2.0,Black
Linksys WUSB6100M,38.0,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Asus USB-N10,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-N150PCe,,Wi-Fi 4,PCIe x1,
Belkin E9L3000,,Wi-Fi 4,USB Type-A 2.0,
Encore ENUWI-1XN42,,Wi-Fi 4,USB Type-A 2.0,
Encore ENUWI-1XN4M,21.0,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-684UB,,Wi-Fi 4,USB Type-A 2.0,
Encore ENEWI-2XN45,,Wi-Fi 4,PCIe x1,
D-Link DWA-566,,Wi-Fi 4,PCIe x1,
TP-Link TL-WDN3200,,Wi-Fi 4,USB Type-A 2.0,
TP-Link TL-WN723N,,Wi-Fi 4,USB Type-A 2.0,
TP-Link TL-WN7200ND,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-805UB,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Edimax EW-7128Gn,,Wi-Fi 4,PCI,
Edimax EW-7722PnD,,Wi-Fi 4,PCIe x1,
Edimax EW-7822UAC,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Belkin F7D1102,,Wi-Fi 4,USB Type-A 2.0,
Encore ENLWI-N3,,Wi-Fi 4,PCI,
Rosewill AC1200UBE,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Hawking Technology HD65U,79.99,Wi-Fi 5,USB Type-A 2.0,
Rosewill RNX-AC1200UBE2,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Athenatech NE-WN3201D,,Wi-Fi 4,USB Type-A 2.0,
D-Link DWA-192,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Linksys AE3000-CA,88.4,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-AC600NUBv2,,Wi-Fi 5,USB Type-A 2.0,Black
Belkin Linksys AE1200-NP,,Wi-Fi 4,USB Type-A 3.2 Gen 1,Black
fenvi FV8303,,Wi-Fi 4,PCIe x1,
Intel AX210,,Wi-Fi 6E,M.2 PCIe,Green
Linksys AE1200,28.58,Wi-Fi 4,USB Type-A 2.0,
Belkin F9L1001,48.94,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-AC1900UB,25.49,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Cisco AE2500,,Wi-Fi 4,USB Type-A 2.0,
Cisco AIR-PI21AG-A-K9,,Wi-Fi 3,PCI,
TRENDnet TEW-648UB,,Wi-Fi 4,USB Type-A 2.0,
Linksys AE2500,48.0,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-649UB,74.95,Wi-Fi 4,USB Type-A 2.0,
Rosewill N600PCE,45.0,Wi-Fi 4,PCIe x1,
D-Link DWA-125,,Wi-Fi 4,USB Type-A 2.0,
D-Link DWA-160,44.99,Wi-Fi 4,USB Type-A 2.0,
Netgear WNA1100-100ENS,,Wi-Fi 4,USB Type-A 2.0,
D-Link DWA-162,19.0,Wi-Fi 4,USB Type-A 2.0,
Patriot PCBOWAU2-N,45.0,Wi-Fi 4,USB Type-A 2.0,
Intel 6235ANHMW,,Wi-Fi 4,Mini-PCIe,
StarTech USB300WN2X2C,18.94,Wi-Fi 4,USB Type-A 2.0,
StarTech USB433WACDB,31.0,Wi-Fi 5,USB Type-A 2.0,
TRENDnet TEW-806UBH,,Wi-Fi 5,USB Type-A 2.0,
Belkin F7D2102,,Wi-Fi 4,USB Type-A 2.0,
Belkin B2N002,,Wi-Fi 4,USB Type-A 2.0,
IOGEAR GWU625,,Wi-Fi 4,USB Type-A 2.0,
Intel 2200BNHMWDTX1G,,Wi-Fi 4,PCIe x1,
Rosewill RNX-MiniN2(RWLD-11002),,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-N150PCx,,Wi-Fi 4,PCI,
Rosewill RNX-N150UBE,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-N180UB,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-N180UBE,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-N250UBE,,Wi-Fi 4,USB Type-A 2.0,
StarTech USB300WN2X2D,,Wi-Fi 4,USB Type-A 2.0,
Syba CL-ADA23032,,Wi-Fi 4,USB Type-A 2.0,
Syba CL-ADA24004,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-646UBH,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-703PIL,,Wi-Fi 4,PCI,
TRENDnet TEW-703PI,,Wi-Fi 4,PCI,
Rosewill N900UBE,,Wi-Fi 4,USB Type-A 2.0,
Intel 62205AN.HMWWB,,Wi-Fi 4,Half Mini-PCIe,
Asus USB-N53,,Wi-Fi 4,USB Type-A 2.0,
Asus USB-N66,,Wi-Fi 4,USB Type-A 2.0,
Linksys AE1200-NP,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNWD-N1501UB,,Wi-Fi 4,USB Type-A 2.0,
Linksys AE3000-NP,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-N250PC2,,Wi-Fi 4,PCI,
Rosewill RNX-N150HG,,Wi-Fi 4,USB Type-A 2.0,
Linksys AE2500-NP,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNWD-N1502UBE,,Wi-Fi 4,USB Type-A 2.0,
Belkin E9L6000,,Wi-Fi 4,USB Type-A 2.0,
Diamond WL700NXS,,Wi-Fi 4,USB Type-A 2.0,
Encore ENUWI-1XN45,,Wi-Fi 4,USB Type-A 2.0,
Encore ENUWI-2XN42,,Wi-Fi 4,USB Type-A 2.0,
Encore ENUWI-2XN45,,Wi-Fi 4,USB Type-A 2.0,
IOGEAR GWU627W6,,Wi-Fi 4,USB Type-A 2.0,
Encore ENEWI-2XN42,,Wi-Fi 4,PCIe x1,
TRENDnet TEW-623PI,,Wi-Fi 4,PCI,
Rosewill RNX-N600UBE,,Wi-Fi 4,USB Type-A 2.0,
D-Link DWA-130,,Wi-Fi 4,USB Type-A 2.0,
Netgear WN311B-100NAS,,Wi-Fi 4,PCI,
Netgear WNA1000M-100ENS,,Wi-Fi 4,USB Type-A 2.0,
Netgear WNA3100-100ENS,,Wi-Fi 4,USB Type-A 2.0,
Netgear WNDA4100-100NAS,,Wi-Fi 4,USB Type-A 2.0,
TP-Link TL-WN350GD,,Wi-Fi 3,PCI,
Intel 6235ANHMW,,Wi-Fi 4,Half Mini-PCIe,
Intel 105,,Wi-Fi 4,Mini-PCIe,
Intel 135,,Wi-Fi 4,Mini-PCIe,
Intel 2200BNHMW,,Wi-Fi 4,Mini-PCIe,
Intel 7260HMW,,Wi-Fi 4,Mini-PCIe,
Intel 7260HMW BN,,Wi-Fi 4,Mini-PCIe,
Linksys AE6000,,Wi-Fi 5,USB Type-A 2.0,
Orico ORICO WRA150,,Wi-Fi 4,USB Type-A 2.0,
Orico ORICO WRB150,,Wi-Fi 4,USB Type-A 2.0,
Orico ORICO WRB150,,Wi-Fi 4,USB Type-A 2.0,
Orico ORICO WRD150,,Wi-Fi 4,USB Type-A 2.0,
Orico WRD150BLK,,Wi-Fi 4,USB Type-A 2.0,
Samsung WIS12ABGNX/XAA,,Wi-Fi 4,USB Type-A 2.0,
StarTech PCI300WN2X2,,Wi-Fi 4,PCI,
TP-Link TL-WN8200ND,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-624UB,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-664UB,,Wi-Fi 4,USB Type-A 2.0,
D-Link DWA-180,,Wi-Fi 5,USB Type-A 2.0,
D-Link DWA-525,,Wi-Fi 4,PCI,
Edimax EW-7811Un,,Wi-Fi 4,USB Type-A 2.0,
Edimax EW-7612PIn,36.99,Wi-Fi 4,PCIe x1,
Edimax EW-7711USN,,Wi-Fi 4,USB Type-A 2.0,
Edimax EW-7722In,,Wi-Fi 4,PCI,
Edimax EW-7722UTn,,Wi-Fi 4,USB Type-A 2.0,
Edimax EW-7722UnD,,Wi-Fi 4,USB Type-A 2.0,
Hawking Technology HAWNU1,,Wi-Fi 4,USB Type-A 2.0,
Hawking Technology HAWNU2,,Wi-Fi 4,USB Type-A 2.0,
Hawking Technology HD45U,,Wi-Fi 4,USB Type-A 2.0,
Hawking Technology HWDN3,,Wi-Fi 4,USB Type-A 2.0,
Hawking Technology HWUG1,,Wi-Fi 3,USB Type-A 2.0,
Hawking Technology HWUN4,,Wi-Fi 4,USB Type-A 2.0,
IOGEAR GWU523,,Wi-Fi 3,USB Type-A 2.0,
Rosewill RNX-G300EX,,Wi-Fi 3,PCI,
SIIG CN-WR0811-S1,,Wi-Fi 4,PCIe x1,
Belkin F9L1002,,Wi-Fi 4,USB Type-A 2.0,
Belkin F9L1109-OM,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Buffalo Technology WI-U2-300D,,Wi-Fi 4,USB Type-A 2.0,
Buffalo Technology WI-U2-433DM,,Wi-Fi 5,USB Type-A 2.0,
Cisco AM10,,Wi-Fi 4,USB Type-A 2.0,
D-Link N69506,,Wi-Fi 4,USB Type-A 2.0,
D-Link DWA-548,,Wi-Fi 4,PCIe x1,
SIIG JU-WR0012-S1,,Wi-Fi 4,USB Type-A 2.0,
SIIG JU-WR0212-S1,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-804UB,,Wi-Fi 5,USB Type-A 2.0,
SIIG JU-WR0112-S1,,Wi-Fi 4,USB Type-A 2.0,
Cisco AE3000,,Wi-Fi 4,USB Type-A 2.0,
Intel 6205,,Wi-Fi 4,Mini-PCIe,
Intel 7260HMW,,Wi-Fi 5 (5 GHz only),Mini-PCIe,
Asus USB-AC55,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Asus USB-N13,,Wi-Fi 4,USB Type-A 2.0,
Belkin AE3000,,Wi-Fi 4,USB Type-A 2.0,
Belkin F7D2102TT,,Wi-Fi 4,USB Type-A 2.0,
BenQ WDRT8192,,Wi-Fi 4,USB Type-A 2.0,
Cisco AE1200,,Wi-Fi 4,USB Type-A 2.0,
Hawking Technology HW7ACU,,Wi-Fi 5,USB Type-A 2.0,
IOGEAR GWU735,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Rosewill RNX-AC1200PCE,,Wi-Fi 5,PCIe x1,
Rosewill RNX-N600UB,,Wi-Fi 4,USB Type-A 2.0,
Edimax EW-7711MAC,,Wi-Fi 5,USB Type-A 2.0,
Intel 6300,,Wi-Fi 4,Mini-PCIe,
Intel 7260,,Wi-Fi 4,Mini-PCIe,
Intel 7260,,Wi-Fi 4,Mini-PCIe,
Edimax EW-7811DAC,,Wi-Fi 5,USB Type-A 2.0,
Belkin AE6000,68.98,Wi-Fi 5,USB Type-A 2.0,
AUKEY WF-R12,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Rosewill RNX-N600PCE_v2.0,,Wi-Fi 4,PCIe x1,
Rosewill RNX-N150NUB,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-N150NUB,,Wi-Fi 4,USB Type-A 2.0,
Linksys AE2500-CA,,Wi-Fi 4,USB Type-A 2.0,
Netgear WF2190,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Inamax 4332804407,,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
BrosTrend AC6,,Wi-Fi 5,PCIe x1,Red / Black
Rosewill RNX-AC1200UBv2,,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Asus USB-AC55 B1,,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Rosewill RNX-AC2030PCE,,Wi-Fi 5,PCIe x1,Red / Black
TP-Link ARCHER T4UHP,,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Syba SY-PEX23059,,Wi-Fi 4,PCIe x1,Green / Black
Sabrent USBG802,,Wi-Fi 3,USB Type-A 2.0,Black
HP 9260,,Wi-Fi 5,PCIe x1,Green / Black
Hommie N900,,Wi-Fi 4,PCIe x1,
Intel AX210,,Wi-Fi 6E,M.2 PCIe,Green
Intel AX210 w/vPro,,Wi-Fi 6E,M.2 PCIe,Green
