name,price,capacity_w,capacity_va
APC SRT5KXLT,4848.99,4250.0,5000.0
Tripp Lite AVR900U,117.99,480.0,900.0
Tripp Lite ECO850LCD,110.72,425.0,850.0
Tripp Lite SMART1300LCDT,206.47,720.0,1300.0
CyberPower CP1000PFCLCDTAA,201.95,600.0,1000.0
Tripp Lite SM1000RM1UTAA,792.54,800.0,1000.0
Tripp Lite SMC10002URM,514.36,700.0,1000.0
APC SMC1000,514.79,600.0,1000.0
APC SMC1500I,832.12,900.0,1500.0
APC SUA5000RMT5U,4372.49,4000.0,5000.0
APC SUM3000RMXLI2U,,2850.0,3000.0
Tripp Lite ECO550UPS,89.4,300.0,550.0
Tripp Lite SMART2200RM2U,1155.19,1920.0,2200.0
Tripp Lite ECO750UPSTAA,135.65,450.0,750.0
Tripp Lite SU2200RTXL2UA,2390.0,1600.0,2200.0
CyberPower OL3000RTXL2U,2119.94,2700.0,3000.0
CyberPower OR1500LCDRTXL2U,629.95,1125.0,1500.0
CyberPower OR700LCDRM1U,299.95,400.0,700.0
Tripp Lite SUINT2000XL,,1400.0,2000.0
CyberPower CP685AVR,,390.0,685.0
CyberPower PR3000LCDRTXL2U,,3000.0,3000.0
Eaton 66942,,250.0,500.0
CyberPower GX1325U,219.99,810.0,1325.0
CyberPower LX1500GU-FC,,900.0,1500.0
CyberPower CST1500S,,900.0,1500.0
APC Back-UPS Pro 1375VA,,810.0,1375.0
CyberPower CP1500AVRT,194.95,900.0,1500.0
APC BE400-FR,244.0,240.0,400.0
APC SMT3000RMUS,1118.64,2700.0,2880.0
CyberPower CP1500PFCLCDTAA,277.95,900.0,1500.0
Tripp Lite OMNIVSINT1500XL,364.53,940.0,1500.0
CyberPower CP825LCD,109.95,450.0,825.0
APC SMT1000,788.5,670.0,1000.0
APC BE650G1-LM,125.99,390.0,650.0
APC SC450RMI1U,369.99,280.0,450.0
APC SMC1500,629.99,900.0,1500.0
APC SMC1500I-2U,867.99,900.0,1500.0
APC SMX1000I,1012.97,800.0,1000.0
APC SMX3000LV,1712.76,2700.0,3000.0
APC SMX3000RMLV2UNC,2058.48,2700.0,3000.0
APC SRT6KRMXLI,,6000.0,6000.0
APC SU700X93,,450.0,700.0
APC SUM1500RMXL2U,,1425.0,1440.0
APC SURTD5000RMXLP3U,6546.6,4000.0,5000.0
Tripp Lite AVR700U,94.75,350.0,700.0
Tripp Lite SMART1000LCD,179.32,500.0,1000.0
Tripp Lite SMARTINT3000VS,1618.31,2250.0,3000.0
CyberPower OL8000RT3U,4995.0,7200.0,8000.0
Tripp Lite SMART500RT1U,368.91,300.0,500.0
APC BN650M1,118.3,360.0,650.0
APC BN1100M2,250.0,600.0,1100.0
APC BE350R,89.5,200.0,350.0
APC BE650R,119.2,390.0,650.0
APC SMT1000RMI2U,857.22,700.0,1000.0
APC SMT1500RMI1U,1299.99,1000.0,1500.0
APC SMT1500RMUS,699.99,1000.0,1500.0
APC SMT3000RMI2U,3374.12,2700.0,3000.0
APC SMX2000RMLV2UNC,1708.64,1800.0,1920.0
APC SMX3000HVT,2020.67,2700.0,3000.0
APC SMX3000RMHV2UNC,2620.37,2700.0,3000.0
APC SRT5KRMXLI,5967.21,4500.0,5000.0
APC SRT8KRMXLT,7107.99,8000.0,8000.0
Tripp Lite AVRX550U,99.94,300.0,550.0
Tripp Lite ECO750UPS,110.33,450.0,750.0
Tripp Lite INTERNET550SER,82.78,300.0,550.0
Tripp Lite INTERNET550U,77.16,300.0,550.0
Tripp Lite INTERNET600U,79.79,300.0,600.0
Tripp Lite OMNI650LCD,153.81,350.0,650.0
Tripp Lite SM2200RMNAFTA,1251.68,1600.0,2200.0
Tripp Lite SMART1500RM2U,748.67,1350.0,1500.0
Tripp Lite SMART1500RMXL2UA,877.79,1350.0,1500.0
Tripp Lite SMART2200CRMXL,1762.0,1900.0,2200.0
Tripp Lite SMART2200VSXL,3009.92,1600.0,2200.0
Tripp Lite SU2200XLA,2520.42,1600.0,2200.0
Tripp Lite SU3000RTXL2U,1602.86,2500.0,3000.0
Tripp Lite SU3000RTXL3U,1671.05,2400.0,3000.0
Tripp Lite SU3000RTXLCD2U,1903.37,2700.0,3000.0
Tripp Lite SU8000RT4U,6502.07,5600.0,8000.0
Tripp Lite SUINT1000RTXL2UA,,800.0,1000.0
Tripp Lite SMARTINT2200VS,2113.04,1600.0,2200.0
Tripp Lite SMX1500XLRT2U,910.5,1350.0,1500.0
Tripp Lite SMART550USB,209.77,300.0,550.0
Tripp Lite SMART3000SLT,1330.66,2250.0,3000.0
CyberPower BRG1000AVRLCD,162.94,600.0,1000.0
CyberPower PR1000LCD,439.95,700.0,1000.0
CyberPower PR1000LCDRT1U,604.95,800.0,1000.0
Fellowes 99067,130.0,,600.0
APC BE325R,,185.0,325.0
APC BE650G,,390.0,650.0
APC BE650G-CN,,390.0,650.0
APC BE700G-UK,,405.0,700.0
APC BGE90M,,75.0,125.0
APC BX1000G,,600.0,1000.0
APC BX1500G,,865.0,1500.0
APC DLT1500RMI2U,,1000.0,1500.0
APC SC450RM1U,201.98,280.0,450.0
APC SMT1000US,,700.0,1000.0
APC SMT1500X448,,1000.0,1500.0
APC SMT2200RM2U,1799.0,1980.0,2200.0
APC SMX1500RM2U,,1200.0,1500.0
APC SMX2200HV,2073.35,1980.0,2200.0
APC SUA2200XL,,1850.0,2200.0
APC SURTD5000XLI,,3500.0,5000.0
Tripp Lite OMNISMART1400,,940.0,1400.0
Tripp Lite SMART2600RM2U,1462.3,1920.0,2600.0
Tripp Lite SU12000RT4UHW,,8400.0,12000.0
Tripp Lite SMART750USBTAA,209.91,450.0,750.0
Tripp Lite SMART5000TEL3U,3791.8,3750.0,5000.0
APC BK350,119.99,210.0,350.0
APC SUA1000XL,,800.0,1000.0
CyberPower OR2200PFCRT2Ua,,1300.0,2200.0
CyberPower PR1000LCDTAA,442.18,700.0,1000.0
CyberPower PR2200LCDRT2UTAA,,1600.0,2170.0
CyberPower PR2200SWRM2U,,1500.0,2200.0
CyberPower PR6000LCDRTXL5U,,4500.0,6000.0
CyberPower SE425G,,255.0,425.0
Belkin F6C500-UNV,,275.0,500.0
HP AF463A,,6300.0,6300.0
IBM 53959KX,,10000.0,11000.0
APC BX600CI-IN,,360.0,600.0
CyberPower BU800E-UK,,400.0,800.0
APC BR1500MS,,900.0,1500.0
Tripp Lite BC350,58.84,180.0,350.0
Tripp Lite OMNI1500LCDT,198.6,810.0,1500.0
APC BR1000G,229.0,600.0,1000.0
APC SMT1000I,705.36,670.0,1000.0
APC SMX2000LVNC,1655.99,1800.0,1920.0
APC SMX3000RMLV2U,1912.25,2700.0,3000.0
Tripp Lite OMNIVS1000,172.59,500.0,1000.0
APC BE550G/LM,102.93,330.0,550.0
APC SMC1000I-2U,,600.0,1000.0
APC SMT1500,799.99,980.0,1500.0
APC SMT750,498.0,500.0,750.0
APC SMX2200RMLV2U,1673.72,1980.0,2200.0
APC SRT5KRMXLT,4054.48,4250.0,5000.0
APC SUA3000,,2700.0,3000.0
APC SURT6000XLT,,4200.0,6000.0
APC SURTD2200XLIM,2573.33,1540.0,2200.0
Tripp Lite ECO350UPS,69.95,180.0,350.0
Tripp Lite ECO900UPSM,140.99,480.0,900.0
Tripp Lite INTERNET350U,66.81,180.0,350.0
Tripp Lite OMNI700LCD,,420.0,700.0
Tripp Lite SMART1500RMXL2U,877.79,940.0,1500.0
Tripp Lite SU3000RTXL3UHV,4165.04,2400.0,3000.0
Tripp Lite SU3000XLCD,2099.0,2700.0,3000.0
Tripp Lite SMART3000VS,1241.88,2250.0,3000.0
CyberPower OL2200RTXL2U,1619.95,1800.0,2200.0
Tripp Lite SMC15002URM,661.49,1000.0,1500.0
APC BE350G,,200.0,350.0
APC BE650G1-CN,147.33,390.0,650.0
APC BK500BLK,128.97,300.0,500.0
APC BR550GI,,330.0,550.0
APC SC420,,260.0,420.0
APC SC620,,390.0,620.0
APC SC620I,316.99,390.0,620.0
APC SMT1000RM2U,699.99,700.0,1000.0
APC SMT1500RM2U,899.99,1000.0,1440.0
APC SMT1500RMI2U,859.99,1000.0,1500.0
APC SMT2200R2X106,1342.69,1980.0,2200.0
APC SMT2200RMUS,1819.98,1980.0,2200.0
APC SMT3000R2X180,,2700.0,3000.0
APC SMT3000RM2U,1688.6,2700.0,3000.0
APC SMT750RM2U,789.99,500.0,750.0
APC SMT750RMI2U,444.46,500.0,750.0
APC SMX1000,695.0,800.0,1000.0
APC SMX1500RM2UNC,1935.0,1200.0,1500.0
APC SMX2000RMLV2U,1485.31,1800.0,1920.0
APC SMX2200RMHV2U,2230.0,1980.0,2200.0
APC SMX750,799.0,600.0,750.0
APC SMX750I,,600.0,750.0
APC SUA1500R2X93,,980.0,1440.0
APC SUA2200,,1980.0,2200.0
APC SUA2200RM2U,,1980.0,2200.0
APC SUA3000XL-NETPKG,,2700.0,3000.0
APC SUA5000R5TXFMR,6325.0,4000.0,5000.0
APC SUA750R2IX38,1459.0,480.0,750.0
APC SUA750RMJ1UB,599.99,480.0,750.0
APC SUM1500RMXLI2U,,1425.0,1500.0
APC SURTA2200XL,,1750.0,2200.0
APC SURTA3000RMXL3U,2538.48,2100.0,3000.0
APC SURTD3000RMXLI,,2100.0,3000.0
APC SURTD3KRMXL3U-TF5,,2100.0,3000.0
APC SURTD5000RMXLT3U,,3500.0,5000.0
APC SURTD6000RMXLP3U,6850.0,4200.0,6000.0
Tripp Lite AVR550U,84.81,300.0,550.0
Tripp Lite AVR650UM,95.75,325.0,650.0
Tripp Lite AVR750U,125.99,450.0,750.0
Tripp Lite BC600SINE,183.53,375.0,600.0
Tripp Lite ECO650UPSM,106.55,325.0,650.0
Tripp Lite INTERNET350SER,76.53,180.0,350.0
Tripp Lite INTERNETOFFICE700,526.77,425.0,700.0
Tripp Lite INTRNT OFFC700R,526.77,425.0,700.0
Tripp Lite OMNI500ISO,588.12,300.0,500.0
Tripp Lite OMNI900LCD,174.99,475.0,900.0
Tripp Lite OMNISMART350HG,453.11,225.0,330.0
Tripp Lite OMNISMART700,594.26,425.0,700.0
Tripp Lite OMNIVS1500XL,262.49,940.0,1500.0
Tripp Lite OMNIVS1500XLTAA,739.26,940.0,1500.0
Tripp Lite OMNIVS800,198.7,475.0,800.0
Tripp Lite OMNIVSINT800,227.3,475.0,800.0
Tripp Lite OMNIX350HG,551.37,225.0,350.0
Tripp Lite SM1000RM2UTAA,757.93,700.0,1000.0
Tripp Lite SM1500RMXL2UTAA,1067.95,1350.0,1500.0
Tripp Lite SM2200RMDVTAA,2086.05,1920.0,2200.0
Tripp Lite SM3000RMXL2UTAA,1607.02,2880.0,3000.0
Tripp Lite SM3000RMXLNTAA,1780.8,2880.0,3000.0
Tripp Lite SMART1000LCDTAA,413.97,500.0,1000.0
Tripp Lite SMART1000RM1U,671.1,800.0,1000.0
Tripp Lite SMART1000RM2U,594.79,800.0,1000.0
Tripp Lite SMART1000RMXL2U,549.99,900.0,1000.0
Tripp Lite SMART1050SLT,532.76,670.0,1050.0
Tripp Lite SMART1200LCD,330.29,700.0,1200.0
Tripp Lite SMART1200XLHG,839.47,750.0,1000.0
Tripp Lite SMART1500,706.45,980.0,1500.0
Tripp Lite SMART1500CRMXL,1301.73,1440.0,1500.0
Tripp Lite SMART1500LCDXL,319.0,900.0,1500.0
Tripp Lite SMART1500RM2UN,1111.96,1350.0,1500.0
Tripp Lite SMART1500RMXLN,1163.56,1350.0,1500.0
Tripp Lite SMART1500SLT,547.15,950.0,1500.0
Tripp Lite SMART2200RM2UN,1463.71,1920.0,2200.0
Tripp Lite TE600,,425.0,600.0
Tripp Lite SMART2200RMXL2U,1189.99,1920.0,2200.0
Tripp Lite SMART2200RMXLN,1788.31,1920.0,2200.0
Tripp Lite SMART2200SLTAA,1383.48,1600.0,2200.0
Tripp Lite SMART2500XLHG,2392.0,1920.0,2200.0
Tripp Lite SMART3000CRMXL,2102.29,2880.0,3000.0
Tripp Lite SMART3000NET,1698.42,2400.0,3000.0
Tripp Lite SMART3000RM2U,,2250.0,3000.0
Tripp Lite SMART3000RM2UN,1717.4,2250.0,3000.0
Tripp Lite SU2200RTXL2UN,,1600.0,2200.0
Tripp Lite SU2200RTXLCD2U,1389.83,1800.0,2200.0
Tripp Lite SU3000RTXL3UN,,2400.0,3000.0
Tripp Lite SU3000RTXLCD3U,1999.19,2700.0,3000.0
Tripp Lite SU3000RTXR3U,2364.26,2400.0,3000.0
Tripp Lite SU6000RT4UHV,,5400.0,6000.0
Tripp Lite SU6000RT4UTF,4489.25,5400.0,6000.0
Tripp Lite SU750RTXL2U,544.34,600.0,750.0
Tripp Lite SU750RTXLCD2U,650.36,675.0,750.0
Tripp Lite SU750XL,600.66,600.0,750.0
Tripp Lite SUINT3000RTXL2U,2584.35,2500.0,3000.0
Tripp Lite SU1500RTXL2UA,1573.42,1200.0,1500.0
Tripp Lite SU1500RTXL2UN,1244.86,1200.0,1500.0
Tripp Lite SU1500RTXLCD2U,947.62,1350.0,1500.0
Tripp Lite SMX3000XLRT2UA,1295.39,2700.0,3000.0
Tripp Lite SMX500RT1U,302.29,300.0,500.0
Tripp Lite SMX750SLT,,500.0,750.0
Tripp Lite SU1000RTXL2UA,650.59,800.0,1000.0
Tripp Lite SU1000XLCD,898.69,900.0,1000.0
Tripp Lite SU10KRT3UHV,5179.84,7000.0,10000.0
Tripp Lite SMART750RM1U,575.81,600.0,750.0
Tripp Lite SMART750RMXL2U,605.16,600.0,750.0
Tripp Lite SMART750SLT,459.99,500.0,750.0
Tripp Lite SMART750XLA,631.63,500.0,750.0
Tripp Lite SMX1000RT2U,729.75,700.0,1000.0
Tripp Lite SMX1200XLHG,870.86,750.0,1000.0
Tripp Lite SMX1500LCD,451.44,900.0,1500.0
Tripp Lite SMX1500SLT,690.04,900.0,1500.0
Tripp Lite SMART500RT1UTAA,,300.0,500.0
Tripp Lite SMART700DVA,141.25,450.0,700.0
Tripp Lite SMART700HG,879.99,450.0,700.0
Tripp Lite SMART700SER,862.41,450.0,700.0
Tripp Lite OMNI1000ISO,560.59,700.0,1000.0
Tripp Lite SMART3000RMXLN,1739.99,2880.0,3000.0
Tripp Lite SMART5000XFMRXL,3554.0,3750.0,5000.0
Tripp Lite OMNI750ISO,379.02,500.0,750.0
Tripp Lite SMX1000LCD,,500.0,1000.0
APC SUA1500X93,1098.99,980.0,1440.0
CyberPower CP600LCD,87.95,340.0,600.0
CyberPower CP685AVRLCD,115.95,390.0,685.0
CyberPower CP825AVRLCD,120.95,450.0,825.0
CyberPower EC550G,73.95,330.0,550.0
CyberPower OL1000RTXL2U,894.95,900.0,1000.0
CyberPower OR1500LCDRM1U,556.95,900.0,1500.0
CyberPower OR1500PFCRT2U,577.95,900.0,1500.0
CyberPower OR500LCDRM1U,199.95,300.0,500.0
CyberPower PR500LCDRT1U,362.95,400.0,500.0
CyberPower PR750LCD,324.95,525.0,750.0
Fujitsu S26113-E400-L1,1147.0,980.0,1500.0
Tripp Lite SM3000RM2UTAA,,2250.0,3000.0
APC SMT1000J,,670.0,1000.0
APC BE350G-CN,,200.0,350.0
APC BE450G,,257.0,450.0
APC BE450G-CN,,257.0,450.0
APC APC3IA,,2250.0,3000.0
APC BE325,,185.0,325.0
APC BE325-LM,,185.0,325.0
APC BE350,,225.0,350.0
APC BE350C,,200.0,350.0
APC BE350G-LM,,200.0,350.0
APC BE350R-CN,,200.0,350.0
APC BE350U-CN,,200.0,350.0
APC BE450G-LM,,257.0,450.0
APC BE500R,,300.0,500.0
APC BE500R-CN,,300.0,500.0
APC BE500U-CN,,300.0,500.0
APC BE525-RS,,300.0,525.0
APC BE550-CP,,330.0,550.0
APC BE550-GR,,330.0,550.0
APC BE550-UK,,330.0,700.0
APC BF350U,,225.0,350.0
APC BE550G-CN,,330.0,550.0
APC BE550G-GR,,330.0,550.0
APC BE550R,,330.0,550.0
APC BE550R-CN,,330.0,550.0
APC BE600-LM,,360.0,600.0
APC BE650BB,,390.0,650.0
APC BE650G-LM,,390.0,650.0
APC BE650MC,,390.0,650.0
APC BE650R-CN,,390.0,650.0
APC BE700-AZ,,405.0,700.0
APC BE700-CP,,405.0,700.0
APC BE700G-GR,,405.0,700.0
APC BE700-GR,,405.0,700.0
APC BE700-UK,,405.0,700.0
APC BE750BB-CN,,450.0,750.0
APC BE750BBX450,,450.0,750.0
APC BE750G-CN,,450.0,750.0
APC BE750G-LM,,450.0,750.0
APC BF350-FR,,225.0,350.0
APC BF350-GR,,225.0,350.0
APC BF500,,325.0,500.0
APC BF500-AZ,,325.0,500.0
APC BF500-GR,,325.0,500.0
APC BF500U,,325.0,500.0
APC BF500-UK,,325.0,500.0
APC BG500,,300.0,500.0
APC BH500INET,179.99,300.0,500.0
APC BH500NET,,300.0,500.0
APC BK200,,130.0,200.0
APC BK300C,,180.0,300.0
APC BK300MI,,180.0,300.0
APC BK400,,250.0,400.0
APC BK450,,300.0,450.0
APC BK500JP,,300.0,500.0
APC BK500JS,,300.0,500.0
APC BK500MI,,300.0,500.0
APC BK600,,400.0,600.0
APC BN4001,,257.0,450.0
APC BN700MC,,420.0,700.0
APC BN600G,,360.0,600.0
APC BR900GI,,540.0,900.0
APC BX1300G,,780.0,1300.0
APC DLT1500I,,1000.0,1500.0
APC J10BLK,,600.0,1000.0
APC J15BLK,,865.0,1500.0
APC SC1000,,600.0,1000.0
APC SC1000I,,600.0,1000.0
APC SC1500I,,865.0,1500.0
APC SC420I,279.98,260.0,420.0
APC SC450R1X542,,280.0,450.0
APC SC620X565,,410.0,620.0
APC SMC1000-2U,,600.0,1000.0
APC SMC1500-2U,,900.0,1500.0
APC SMT1500J,,980.0,1500.0
APC SMT1500R2X180,,1000.0,1500.0
APC SMT1500RM1U,1175.99,1000.0,1440.0
APC SMT1500X413,771.68,980.0,1500.0
APC SMT2200R2X180,,1980.0,2200.0
APC SMT2200RMI2U,1799.27,1980.0,2200.0
APC SMT3000R2X145,1975.0,2700.0,3000.0
APC SMT3000RMT2U,2206.66,2700.0,3000.0
APC SMT750R2-NMC,,500.0,750.0
APC SMT750US,,500.0,750.0
APC SMX3000LVNC,2278.97,2700.0,3000.0
APC SU1000RMI2U,,670.0,1000.0
APC SU1000XLNET,,670.0,1000.0
APC SU1400RMXLIB3U,,1050.0,1400.0
APC SU5000R5TBX120,,3750.0,5000.0
APC SUA1000RMI1U,1125.47,640.0,1000.0
APC SUA1500R2X122,,980.0,1440.0
APC SUA1500R2X138,,980.0,1440.0
APC SUA1500RMI2U,,980.0,1500.0
APC SUA1500RMJ2UB,,980.0,1500.0
APC SUA2200R2X147,,1980.0,2200.0
APC SUA2200XLI,,1980.0,2200.0
APC SUA3000I,,2700.0,3000.0
APC SUA3000R2IX38,,2700.0,3000.0
APC SUA3000RM2U,,2700.0,3000.0
APC SUA3000RMI2U,,2700.0,3000.0
APC SUA3000XL,,2700.0,3000.0
APC SUA3000XLI,,2700.0,3000.0
APC SUA3000XLT,,2700.0,3000.0
APC SUA500PDRI-H,,325.0,500.0
APC SUA500PDRI-S,,325.0,500.0
APC SUA750IX38,,500.0,750.0
APC SUA750R2X338,,480.0,750.0
APC SUA750RMI2U,,480.0,750.0
APC SUA750XLI,,600.0,750.0
APC SUOL2000XLI,,1400.0,2000.0
APC SURT1000RMXLI,1568.47,700.0,1000.0
APC SURT1000XLI,,700.0,1000.0
APC SURT1000XLIM,,700.0,1000.0
APC SURT2000RMXLI,,1400.0,2000.0
APC SURT2000XLI,,1400.0,2000.0
APC SURT6000RMXLT3U,,4200.0,6000.0
APC SURTA1000RMXL2U,,800.0,1000.0
APC SURTA1000XL,,800.0,1000.0
APC SURTA1500RMXL2U,,1050.0,1500.0
APC SURTA1500XL,,1050.0,1500.0
APC SURTA2200RMXL2U,,1750.0,2200.0
APC SURTA3000RMXL,,2100.0,3000.0
APC SURTD3000RMXLT3U,,2100.0,3000.0
APC SURTD5000RMXLI,,3500.0,5000.0
APC SY12KEXBX120,,8400.0,12000.0
Tripp Lite AVR700UXRM,,350.0,700.0
Tripp Lite AVR900UTAA,,480.0,900.0
Tripp Lite BCPERS300,,175.0,300.0
Tripp Lite BCPERS450,,280.0,450.0
Tripp Lite BCPERSONAL450,,280.0,450.0
Tripp Lite BCPRO1050,,705.0,1050.0
Tripp Lite BCPRO1400,,940.0,1400.0
Tripp Lite BCPRO600,,345.0,600.0
Tripp Lite ECO550UPSTAA,,300.0,550.0
Tripp Lite HT850UPS,,450.0,750.0
Tripp Lite HTRL15UPS,,900.0,1500.0
Tripp Lite INTERNETOFFICE300,,150.0,300.0
Tripp Lite INTERNETOFFICE500,,280.0,500.0
Tripp Lite OMNISMART1400PNP,,940.0,1400.0
Tripp Lite OMNISMART300PNP,,180.0,300.0
Tripp Lite OMNISMART500,,300.0,500.0
Tripp Lite OMNI SMT300PNP,,180.0,300.0
Tripp Lite OMNIVS1500,,940.0,1500.0
Tripp Lite OMNIVS500U,,300.0,500.0
Tripp Lite OMNIVSINT1000,,500.0,1000.0
Tripp Lite OMNIX1500XLTAA,,940.0,1500.0
Tripp Lite POS500,,300.0,500.0
Tripp Lite SM1050NAFTA,,705.0,1050.0
Tripp Lite SM2200NAFTA,,1700.0,2200.0
Tripp Lite SM2200RMXL2UTAA,,1600.0,2200.0
Tripp Lite SM3000NAFTA,,2400.0,3000.0
Tripp Lite SM3000RM2UNTAA,,2250.0,3000.0
Tripp Lite SM3000RMNAFTA,,2250.0,3000.0
Tripp Lite SM500RMNAFTA,,300.0,500.0
Tripp Lite SMART1050,,705.0,1050.0
Tripp Lite SMART1050SLTAA,,650.0,1050.0
Tripp Lite SMART1500XL,,980.0,1500.0
Tripp Lite SMART1500XLTAA,,980.0,1500.0
Tripp Lite SMART2200,,1700.0,2200.0
